source_table, hadron, target, ref_target, Q2_min, Q2_max, nu_min, nu_max, z_min, z_max, pT2_min, pT2_max, value, stat , syst , flag
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.1 ,    0.25, 0.855, 0.016, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.1 ,    0.25, 0.609, 0.009, 0.036, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.1 ,    0.25, 0.454, 0.01 , 0.031, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.25,    0.4 , 0.849, 0.018, 0.048, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.25,    0.4 , 0.649, 0.011, 0.038, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.25,    0.4 , 0.515, 0.013, 0.036, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.4 ,    0.55, 0.873, 0.026, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.4 ,    0.55, 0.686, 0.016, 0.039, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.4 ,    0.55, 0.544, 0.018, 0.04 , 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.55,    0.75, 0.937, 0.042, 0.07 , 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.55,    0.75, 0.917, 0.033, 0.049, 
