source_table,hadron,target,ref_target,Q2_min,Q2_max,nu_min,nu_max,z_min,z_max,pT2_min,pT2_max,value,stat,syst,flag
II,pi-,C,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.766,0.014,0.032,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.593,0.01,0.028,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.47,0.01,0.023,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.761,0.02,0.032,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.602,0.015,0.029,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.444,0.015,0.021,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.05,0.1,0.0,1.5,1.18,0.013,0.026,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.05,0.1,0.0,1.5,1.179,0.012,0.041,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.05,0.1,0.0,1.5,0.973,0.006,0.035,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.1,0.2,0.0,1.5,0.988,0.004,0.022,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.1,0.2,0.0,1.5,0.9,0.003,0.031,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.1,0.2,0.0,1.5,0.683,0.001,0.025,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.2,0.3,0.0,1.5,0.885,0.004,0.02,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.2,0.3,0.0,1.5,0.745,0.003,0.026,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.2,0.3,0.0,1.5,0.559,0.001,0.02,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.3,0.4,0.0,1.5,0.842,0.005,0.019,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.3,0.4,0.0,1.5,0.671,0.004,0.023,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.3,0.4,0.0,1.5,0.479,0.002,0.017,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.4,0.5,0.0,1.5,0.821,0.006,0.018,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.4,0.5,0.0,1.5,0.627,0.005,0.022,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.4,0.5,0.0,1.5,0.442,0.002,0.016,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.5,0.6,0.0,1.5,0.808,0.008,0.018,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.5,0.6,0.0,1.5,0.603,0.005,0.021,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.5,0.6,0.0,1.5,0.424,0.002,0.015,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.6,0.7,0.0,1.5,0.792,0.009,0.033,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.6,0.7,0.0,1.5,0.583,0.006,0.029,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.6,0.7,0.0,1.5,0.402,0.003,0.02,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.7,0.8,0.0,1.5,0.726,0.008,0.03,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.7,0.8,0.0,1.5,0.519,0.006,0.025,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.7,0.8,0.0,1.5,0.365,0.003,0.018,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.8,0.9,0.0,1.5,0.709,0.008,0.029,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.8,0.9,0.0,1.5,0.477,0.005,0.023,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.8,0.9,0.0,1.5,0.32,0.002,0.016,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.9,1.0,0.0,1.5,0.707,0.008,0.029,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.9,1.0,0.0,1.5,0.474,0.005,0.023,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.9,1.0,0.0,1.5,0.32,0.002,0.016,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.05,0.1,0.0,1.5,1.211,0.012,0.027,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.05,0.1,0.0,1.5,1.224,0.011,0.032,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.05,0.1,0.0,1.5,0.993,0.005,0.027,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.1,0.2,0.0,1.5,1.015,0.004,0.023,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.1,0.2,0.0,1.5,0.926,0.003,0.024,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.1,0.2,0.0,1.5,0.715,0.001,0.02,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.2,0.3,0.0,1.5,0.909,0.004,0.02,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.2,0.3,0.0,1.5,0.757,0.003,0.02,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.2,0.3,0.0,1.5,0.571,0.001,0.016,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.3,0.4,0.0,1.5,0.857,0.005,0.019,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.3,0.4,0.0,1.5,0.681,0.004,0.018,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.3,0.4,0.0,1.5,0.493,0.002,0.014,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.4,0.5,0.0,1.5,0.825,0.006,0.018,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.4,0.5,0.0,1.5,0.627,0.004,0.017,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.4,0.5,0.0,1.5,0.448,0.002,0.012,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.5,0.6,0.0,1.5,0.817,0.007,0.018,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.5,0.6,0.0,1.5,0.609,0.005,0.016,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.5,0.6,0.0,1.5,0.42,0.002,0.012,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.6,0.7,0.0,1.5,0.782,0.008,0.032,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.6,0.7,0.0,1.5,0.578,0.006,0.025,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.6,0.7,0.0,1.5,0.41,0.003,0.018,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.7,0.8,0.0,1.5,0.714,0.008,0.03,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.7,0.8,0.0,1.5,0.521,0.005,0.023,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.7,0.8,0.0,1.5,0.363,0.003,0.016,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.8,0.9,0.0,1.5,0.736,0.008,0.031,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.8,0.9,0.0,1.5,0.501,0.005,0.022,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.8,0.9,0.0,1.5,0.337,0.002,0.015,
III,pi+,C,D,1.3,1.8,2.2,3.2,0.9,1.0,0.0,1.5,0.734,0.008,0.03,
III,pi+,Fe,D,1.3,1.8,2.2,3.2,0.9,1.0,0.0,1.5,0.498,0.005,0.022,
III,pi+,Pb,D,1.3,1.8,2.2,3.2,0.9,1.0,0.0,1.5,0.334,0.002,0.015,
III,pi+,C,D,1.8,4.1,2.2,3.2,0.05,0.1,0.0,1.5,1.291,0.014,0.029,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.05,0.1,0.0,1.5,1.319,0.013,0.03,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.05,0.1,0.0,1.5,1.056,0.006,0.025,
III,pi+,C,D,1.8,4.1,2.2,3.2,0.1,0.2,0.0,1.5,1.085,0.005,0.024,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.1,0.2,0.0,1.5,0.965,0.004,0.022,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.1,0.2,0.0,1.5,0.768,0.002,0.018,
