source_table,observable,target,ref_target,slice_var,slice_min,slice_max,dphi_bin,dphi_min,dphi_max,value,stat,syst,flag
VIII,R_A_over_D,Fe,D,dY,1.5,2.5,4.0,1.57,1.96,0.801,0.05,0.031,
VIII,R_A_over_D,Pb,D,dY,1.5,2.5,4.0,1.57,1.96,0.837,0.079,0.032,
VIII,R_A_over_D,C,D,dY,1.5,2.5,5.0,1.96,2.36,0.86,0.049,0.024,
VIII,R_A_over_D,Fe,D,dY,1.5,2.5,5.0,1.96,2.36,0.677,0.039,0.019,
VIII,R_A_over_D,Pb,D,dY,1.5,2.5,5.0,1.96,2.36,0.633,0.058,0.018,
VIII,R_A_over_D,C,D,dY,1.5,2.5,6.0,2.36,2.75,0.811,0.039,0.018,
VIII,R_A_over_D,Fe,D,dY,1.5,2.5,6.0,2.36,2.75,0.634,0.031,0.014,
VIII,R_A_over_D,Pb,D,dY,1.5,2.5,6.0,2.36,2.75,0.554,0.045,0.013,
VIII,R_A_over_D,C,D,dY,1.5,2.5,7.0,2.75,3.14,0.811,0.038,0.02,
VIII,R_A_over_D,Fe,D,dY,1.5,2.5,7.0,2.75,3.14,0.652,0.031,0.017,
VIII,R_A_over_D,Pb,D,dY,1.5,2.5,7.0,2.75,3.14,0.569,0.044,0.017,
IX,R_A_over_D,C,D,p1T,0.25,0.4,0.0,0.0,0.39,1.094,0.095,0.035,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,0.0,0.0,0.39,1.077,0.088,0.041,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,0.0,0.0,0.39,1.248,0.146,0.056,
IX,R_A_over_D,C,D,p1T,0.25,0.4,1.0,0.39,0.79,1.003,0.081,0.027,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,1.0,0.39,0.79,0.978,0.075,0.027,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,1.0,0.39,0.79,0.942,0.113,0.031,
IX,R_A_over_D,C,D,p1T,0.25,0.4,2.0,0.79,1.18,1.064,0.078,0.024,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,2.0,0.79,1.18,0.894,0.065,0.021,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,2.0,0.79,1.18,1.0,0.108,0.024,
IX,R_A_over_D,C,D,p1T,0.25,0.4,3.0,1.18,1.57,1.056,0.067,0.031,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,3.0,1.18,1.57,0.837,0.054,0.025,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,3.0,1.18,1.57,0.902,0.088,0.027,
IX,R_A_over_D,C,D,p1T,0.25,0.4,4.0,1.57,1.96,0.867,0.046,0.021,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,4.0,1.57,1.96,0.731,0.039,0.018,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,4.0,1.57,1.96,0.755,0.063,0.019,
IX,R_A_over_D,C,D,p1T,0.25,0.4,5.0,1.96,2.36,0.862,0.044,0.021,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,5.0,1.96,2.36,0.722,0.037,0.018,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,5.0,1.96,2.36,0.759,0.06,0.019,
IX,R_A_over_D,C,D,p1T,0.25,0.4,6.0,2.36,2.75,0.83,0.041,0.021,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,6.0,2.36,2.75,0.726,0.035,0.018,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,6.0,2.36,2.75,0.57,0.049,0.015,
IX,R_A_over_D,C,D,p1T,0.25,0.4,7.0,2.75,3.14,0.879,0.042,0.02,
IX,R_A_over_D,Fe,D,p1T,0.25,0.4,7.0,2.75,3.14,0.765,0.036,0.019,
IX,R_A_over_D,Pb,D,p1T,0.25,0.4,7.0,2.75,3.14,0.628,0.051,0.017,
IX,R_A_over_D,C,D,p1T,0.4,0.6,0.0,0.0,0.39,1.517,0.161,0.095,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,0.0,0.0,0.39,1.611,0.158,0.13,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,0.0,0.0,0.39,1.624,0.229,0.179,
IX,R_A_over_D,C,D,p1T,0.4,0.6,1.0,0.39,0.79,1.577,0.145,0.048,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,1.0,0.39,0.79,1.386,0.125,0.048,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,1.0,0.39,0.79,1.354,0.18,0.057,
IX,R_A_over_D,C,D,p1T,0.4,0.6,2.0,0.79,1.18,1.355,0.104,0.033,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,2.0,0.79,1.18,1.044,0.082,0.025,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,2.0,0.79,1.18,1.232,0.136,0.03,
IX,R_A_over_D,C,D,p1T,0.4,0.6,3.0,1.18,1.57,1.115,0.066,0.026,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,3.0,1.18,1.57,0.939,0.055,0.022,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,3.0,1.18,1.57,1.06,0.09,0.026,
IX,R_A_over_D,C,D,p1T,0.4,0.6,4.0,1.57,1.96,0.952,0.045,0.023,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,4.0,1.57,1.96,0.781,0.037,0.019,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,4.0,1.57,1.96,0.945,0.064,0.023,
IX,R_A_over_D,C,D,p1T,0.4,0.6,5.0,1.96,2.36,0.844,0.035,0.022,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,5.0,1.96,2.36,0.673,0.028,0.017,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,5.0,1.96,2.36,0.628,0.042,0.016,
IX,R_A_over_D,C,D,p1T,0.4,0.6,6.0,2.36,2.75,0.763,0.027,0.016,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,6.0,2.36,2.75,0.616,0.022,0.013,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,6.0,2.36,2.75,0.58,0.034,0.013,
IX,R_A_over_D,C,D,p1T,0.4,0.6,7.0,2.75,3.14,0.778,0.026,0.018,
IX,R_A_over_D,Fe,D,p1T,0.4,0.6,7.0,2.75,3.14,0.618,0.021,0.014,
IX,R_A_over_D,Pb,D,p1T,0.4,0.6,7.0,2.75,3.14,0.598,0.032,0.015,
IX,R_A_over_D,C,D,p1T,0.6,1.0,0.0,0.0,0.39,3.201,0.659,0.545,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,0.0,0.0,0.39,3.793,0.726,0.734,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,0.0,0.0,0.39,3.053,0.78,0.661,
IX,R_A_over_D,C,D,p1T,0.6,1.0,1.0,0.39,0.79,3.058,0.564,0.39,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,1.0,0.39,0.79,3.374,0.585,0.431,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,1.0,0.39,0.79,2.802,0.652,0.358,
IX,R_A_over_D,C,D,p1T,0.6,1.0,2.0,0.79,1.18,2.067,0.274,0.048,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,2.0,0.79,1.18,2.252,0.277,0.053,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,2.0,0.79,1.18,2.47,0.392,0.063,
IX,R_A_over_D,C,D,p1T,0.6,1.0,3.0,1.18,1.57,1.494,0.128,0.045,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,3.0,1.18,1.57,1.333,0.11,0.04,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,3.0,1.18,1.57,1.277,0.152,0.038,
IX,R_A_over_D,C,D,p1T,0.6,1.0,4.0,1.57,1.96,1.376,0.098,0.049,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,4.0,1.57,1.96,1.193,0.083,0.043,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,4.0,1.57,1.96,1.215,0.119,0.043,
IX,R_A_over_D,C,D,p1T,0.6,1.0,5.0,1.96,2.36,0.996,0.054,0.022,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,5.0,1.96,2.36,0.809,0.043,0.018,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,5.0,1.96,2.36,0.761,0.062,0.017,
IX,R_A_over_D,C,D,p1T,0.6,1.0,6.0,2.36,2.75,0.86,0.033,0.019,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,6.0,2.36,2.75,0.629,0.025,0.014,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,6.0,2.36,2.75,0.645,0.038,0.015,
IX,R_A_over_D,C,D,p1T,0.6,1.0,7.0,2.75,3.14,0.676,0.024,0.015,
IX,R_A_over_D,Fe,D,p1T,0.6,1.0,7.0,2.75,3.14,0.549,0.019,0.013,
IX,R_A_over_D,Pb,D,p1T,0.6,1.0,7.0,2.75,3.14,0.507,0.029,0.015,
X,R_A_over_D,C,D,p2T,0.25,0.4,0.0,0.0,0.39,1.044,0.081,0.045,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,0.0,0.0,0.39,1.189,0.083,0.076,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,0.0,0.0,0.39,1.203,0.122,0.109,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,1.0,0.39,0.79,1.058,0.073,0.024,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,1.0,0.39,0.79,1.037,0.067,0.027,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,1.0,0.39,0.79,0.959,0.096,0.032,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,2.0,0.79,1.18,1.169,0.071,0.024,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,2.0,0.79,1.18,0.991,0.059,0.021,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,2.0,0.79,1.18,1.041,0.091,0.022,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,3.0,1.18,1.57,1.027,0.049,0.022,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,3.0,1.18,1.57,0.884,0.042,0.019,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,3.0,1.18,1.57,0.926,0.065,0.022,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,4.0,1.57,1.96,0.858,0.035,0.018,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,4.0,1.57,1.96,0.733,0.03,0.015,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,4.0,1.57,1.96,0.812,0.048,0.018,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,5.0,1.96,2.36,0.799,0.03,0.017,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,5.0,1.96,2.36,0.65,0.024,0.014,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,5.0,1.96,2.36,0.636,0.037,0.014,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,6.0,2.36,2.75,0.753,0.025,0.016,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,6.0,2.36,2.75,0.617,0.021,0.014,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,6.0,2.36,2.75,0.601,0.032,0.015,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.25,0.4,7.0,2.75,3.14,0.705,0.023,0.016,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.25,0.4,7.0,2.75,3.14,0.598,0.019,0.018,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.25,0.4,7.0,2.75,3.14,0.555,0.029,0.025,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,0.0,0.0,0.39,2.051,0.231,0.169,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,0.0,0.0,0.39,1.705,0.19,0.203,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,0.0,0.0,0.39,1.642,0.262,0.243,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,1.0,0.39,0.79,1.748,0.185,0.079,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,1.0,0.39,0.79,1.656,0.168,0.101,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,1.0,0.39,0.79,1.362,0.211,0.098,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,2.0,0.79,1.18,1.296,0.11,0.028,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,2.0,0.79,1.18,1.136,0.094,0.025,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,2.0,0.79,1.18,1.436,0.16,0.036,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,3.0,1.18,1.57,1.286,0.086,0.027,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,3.0,1.18,1.57,1.03,0.069,0.022,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,3.0,1.18,1.57,1.077,0.106,0.023,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,4.0,1.57,1.96,1.059,0.055,0.023,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,4.0,1.57,1.96,0.871,0.045,0.019,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,4.0,1.57,1.96,0.887,0.069,0.019,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,5.0,1.96,2.36,0.936,0.041,0.02,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,5.0,1.96,2.36,0.726,0.032,0.016,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,5.0,1.96,2.36,0.695,0.048,0.015,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,6.0,2.36,2.75,0.863,0.03,0.018,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,6.0,2.36,2.75,0.67,0.024,0.014,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,6.0,2.36,2.75,0.584,0.034,0.013,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.4,0.6,7.0,2.75,3.14,0.799,0.026,0.017,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.4,0.6,7.0,2.75,3.14,0.627,0.02,0.014,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.4,0.6,7.0,2.75,3.14,0.575,0.03,0.013,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,0.0,0.0,0.39,2.054,0.975,0.051,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,0.0,0.0,0.39,2.889,1.205,0.071,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,0.0,0.0,0.39,3.626,1.866,0.089,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,1.0,0.39,0.79,5.8,2.387,0.191,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,1.0,0.39,0.79,3.925,1.66,0.129,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,1.0,0.39,0.79,5.747,2.806,0.189,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,2.0,0.79,1.18,3.313,1.053,0.108,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,2.0,0.79,1.18,1.389,0.518,0.046,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,2.0,0.79,1.18,2.373,1.05,0.077,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,3.0,1.18,1.57,2.655,0.682,0.059,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,3.0,1.18,1.57,2.34,0.589,0.052,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,3.0,1.18,1.57,2.419,0.819,0.053,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,4.0,1.57,1.96,2.401,0.423,0.056,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,4.0,1.57,1.96,1.654,0.303,0.039,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,4.0,1.57,1.96,2.511,0.561,0.059,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,5.0,1.96,2.36,1.337,0.15,0.029,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,5.0,1.96,2.36,1.119,0.124,0.024,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,5.0,1.96,2.36,1.014,0.173,0.022,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,6.0,2.36,2.75,0.948,0.068,0.021,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,6.0,2.36,2.75,0.715,0.053,0.015,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,6.0,2.36,2.75,0.681,0.079,0.015,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,C,D,p2T,0.6,0.8,7.0,2.75,3.14,0.857,0.057,0.019,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Fe,D,p2T,0.6,0.8,7.0,2.75,3.14,0.686,0.046,0.015,source_column_header_reads_p1T_caption_says_p2T_p2T_used
X,R_A_over_D,Pb,D,p2T,0.6,0.8,7.0,2.75,3.14,0.663,0.069,0.014,source_column_header_reads_p1T_caption_says_p2T_p2T_used
XI,sigma_RMS_width_rad,D,D,integrated,,,,,,1.114,0.005,0.03,
XI,sigma_RMS_width_rad,C,D,integrated,,,,,,1.24,0.008,0.034,
XI,sigma_RMS_width_rad,Fe,D,integrated,,,,,,1.285,0.008,0.036,
XI,sigma_RMS_width_rad,Pb,D,integrated,,,,,,1.313,0.014,0.038,
XII,b_broadening_rad,C,D,integrated,,,,,,0.544,0.021,0.022,
XII,b_broadening_rad,Fe,D,integrated,,,,,,0.641,0.018,0.03,
XII,b_broadening_rad,Pb,D,integrated,,,,,,0.695,0.027,0.033,
XI,sigma_RMS_width_rad,D,D,dY,-0.5,0.5,,,,0.877,0.013,0.029,
XI,sigma_RMS_width_rad,C,D,dY,-0.5,0.5,,,,1.03,0.021,0.033,
XI,sigma_RMS_width_rad,Fe,D,dY,-0.5,0.5,,,,1.087,0.022,0.035,
XI,sigma_RMS_width_rad,Pb,D,dY,-0.5,0.5,,,,1.117,0.035,0.035,
XII,b_broadening_rad,C,D,dY,-0.5,0.5,,,,0.54,0.045,0.015,
XII,b_broadening_rad,Fe,D,dY,-0.5,0.5,,,,0.643,0.04,0.023,
XII,b_broadening_rad,Pb,D,dY,-0.5,0.5,,,,0.693,0.058,0.02,
XI,sigma_RMS_width_rad,D,D,dY,0.5,1.5,,,,1.081,0.006,0.027,
XI,sigma_RMS_width_rad,C,D,dY,0.5,1.5,,,,1.229,0.01,0.037,
XI,sigma_RMS_width_rad,Fe,D,dY,0.5,1.5,,,,1.274,0.01,0.043,
XI,sigma_RMS_width_rad,Pb,D,dY,0.5,1.5,,,,1.275,0.017,0.049,
XII,b_broadening_rad,C,D,dY,0.5,1.5,,,,0.585,0.023,0.039,
XII,b_broadening_rad,Fe,D,dY,0.5,1.5,,,,0.674,0.021,0.051,
XII,b_broadening_rad,Pb,D,dY,0.5,1.5,,,,0.677,0.033,0.065,
XI,sigma_RMS_width_rad,D,D,dY,1.5,2.5,,,,1.294,0.011,0.037,
XI,sigma_RMS_width_rad,C,D,dY,1.5,2.5,,,,1.365,0.016,0.039,
XI,sigma_RMS_width_rad,Fe,D,dY,1.5,2.5,,,,1.41,0.017,0.041,
XI,sigma_RMS_width_rad,Pb,D,dY,1.5,2.5,,,,1.499,0.028,0.043,
XII,b_broadening_rad,C,D,dY,1.5,2.5,,,,0.432,0.062,0.02,
XII,b_broadening_rad,Fe,D,dY,1.5,2.5,,,,0.56,0.049,0.026,
XII,b_broadening_rad,Pb,D,dY,1.5,2.5,,,,0.756,0.059,0.034,
XI,sigma_RMS_width_rad,D,D,p1T,0.25,0.4,,,,1.375,0.009,0.031,
XI,sigma_RMS_width_rad,C,D,p1T,0.25,0.4,,,,1.44,0.015,0.032,
XI,sigma_RMS_width_rad,Fe,D,p1T,0.25,0.4,,,,1.464,0.015,0.033,
XI,sigma_RMS_width_rad,Pb,D,p1T,0.25,0.4,,,,1.539,0.026,0.035,
XII,b_broadening_rad,C,D,p1T,0.25,0.4,,,,0.431,0.058,0.014,
XII,b_broadening_rad,Fe,D,p1T,0.25,0.4,,,,0.504,0.05,0.017,
XII,b_broadening_rad,Pb,D,p1T,0.25,0.4,,,,0.693,0.06,0.024,
XI,sigma_RMS_width_rad,D,D,p1T,0.4,0.6,,,,1.076,0.007,0.021,
XI,sigma_RMS_width_rad,C,D,p1T,0.4,0.6,,,,1.23,0.012,0.025,
XI,sigma_RMS_width_rad,Fe,D,p1T,0.4,0.6,,,,1.264,0.012,0.028,
XI,sigma_RMS_width_rad,Pb,D,p1T,0.4,0.6,,,,1.298,0.021,0.03,
XII,b_broadening_rad,C,D,p1T,0.4,0.6,,,,0.595,0.028,0.021,
XII,b_broadening_rad,Fe,D,p1T,0.4,0.6,,,,0.663,0.026,0.03,
XII,b_broadening_rad,Pb,D,p1T,0.4,0.6,,,,0.725,0.038,0.033,
XI,sigma_RMS_width_rad,D,D,p1T,0.6,1.0,,,,0.808,0.008,0.02,
XI,sigma_RMS_width_rad,C,D,p1T,0.6,1.0,,,,1.037,0.014,0.024,
XI,sigma_RMS_width_rad,Fe,D,p1T,0.6,1.0,,,,1.118,0.014,0.028,
XI,sigma_RMS_width_rad,Pb,D,p1T,0.6,1.0,,,,1.107,0.024,0.026,
XII,b_broadening_rad,C,D,p1T,0.6,1.0,,,,0.65,0.024,0.021,
XII,b_broadening_rad,Fe,D,p1T,0.6,1.0,,,,0.772,0.022,0.028,
XII,b_broadening_rad,Pb,D,p1T,0.6,1.0,,,,0.756,0.036,0.025,
XI,sigma_RMS_width_rad,D,D,p2T,0.25,0.4,,,,1.22,0.007,0.019,
XI,sigma_RMS_width_rad,C,D,p2T,0.25,0.4,,,,1.332,0.011,0.021,
XI,sigma_RMS_width_rad,Fe,D,p2T,0.25,0.4,,,,1.383,0.011,0.023,
XI,sigma_RMS_width_rad,Pb,D,p2T,0.25,0.4,,,,1.398,0.018,0.023,
XII,b_broadening_rad,C,D,p2T,0.25,0.4,,,,0.534,0.031,0.016,
XII,b_broadening_rad,Fe,D,p2T,0.25,0.4,,,,0.652,0.026,0.023,
XII,b_broadening_rad,Pb,D,p2T,0.25,0.4,,,,0.682,0.039,0.025,
XI,sigma_RMS_width_rad,D,D,p2T,0.4,0.6,,,,1.002,0.008,0.018,
XI,sigma_RMS_width_rad,C,D,p2T,0.4,0.6,,,,1.169,0.013,0.026,
XI,sigma_RMS_width_rad,Fe,D,p2T,0.4,0.6,,,,1.199,0.013,0.03,
XI,sigma_RMS_width_rad,Pb,D,p2T,0.4,0.6,,,,1.233,0.022,0.032,
XII,b_broadening_rad,C,D,p2T,0.4,0.6,,,,0.603,0.027,0.032,
XII,b_broadening_rad,Fe,D,p2T,0.4,0.6,,,,0.659,0.026,0.04,
XII,b_broadening_rad,Pb,D,p2T,0.4,0.6,,,,0.718,0.039,0.041,
XI,sigma_RMS_width_rad,D,D,p2T,0.6,0.8,,,,0.699,0.017,0.018,
XI,sigma_RMS_width_rad,C,D,p2T,0.6,0.8,,,,0.939,0.027,0.018,
XI,sigma_RMS_width_rad,Fe,D,p2T,0.6,0.8,,,,0.936,0.029,0.019,
XI,sigma_RMS_width_rad,Pb,D,p2T,0.6,0.8,,,,1.025,0.051,0.019,
XII,b_broadening_rad,C,D,p2T,0.6,0.8,,,,0.627,0.045,0.013,
XII,b_broadening_rad,Fe,D,p2T,0.6,0.8,,,,0.622,0.047,0.013,
XII,b_broadening_rad,Pb,D,p2T,0.6,0.8,,,,0.75,0.07,0.016,
